Protein_Group	Protein_Ids	Protein_Names	Genes	First_Protein_Description	control_r1	control_r2	control_r3	MI_IZ_r1	MI_IZ_r2	MI_IZ_r3	MI_IZ_r4	MI_remote_r1	MI_remote_r2	MI_remote_r3	MI_remote_r4
P46660;P31001;P20152;P08553	P46660;P31001;P20152;P08553	AINX_MOUSE;DESM_MOUSE;NFM_MOUSE;VIME_MOUSE	Des;Ina;Nefm;Vim		76904.8	30606.7	50717.3	110865	28590		87876.4	57876.2	148049	99339.7	
P46935	P46935	NEDD4_MOUSE	Nedd4		4452.6	4744.75	4718.04	5255.74	4870.13	4725.43	5010.44	4806.55	5277.47	4113.01	4397.3
P46938	P46938	YAP1_MOUSE	Yap1		2368.3		1864.31		2122.21			2099.34	2949.39		2643.08
P46978	P46978	STT3A_MOUSE	Stt3a		4641.05	4815.93	4831.98	6265.89	8508.04	7784.92	10266.7	6759.47	7229.55	5260.69	6540.31
P47713	P47713	PA24A_MOUSE	Pla2g4a		1314.78	1193.15	1211.95	1921.31	3230.89	2082.05	3016.78	1212.86	2789.78	1544.27	1025.7
P47738	P47738	ALDH2_MOUSE	Aldh2		132150	122058	124466	102556	114698	78303.3	83247.2	128129	182542	130782	172342
P47739	P47739	AL3A1_MOUSE	Aldh3a1			2756.22			2209.43		2818.48		2196.15		
P47739;P47740	P47739;P47740	AL3A1_MOUSE;AL3A2_MOUSE	Aldh3a1;Aldh3a2		1074.78	1964.34	904.729	1002.49				1004.33	1455.81	1240.22	
P47740	P47740	AL3A2_MOUSE	Aldh3a2		4019.81	3852.53	3617.67	3021	4439.17	5312.01	4889.36	3924.12	4764	3888.66	4352.98
P47753	P47753	CAZA1_MOUSE	Capza1		3212.26	6234.3	3727.76	7512.42	7317.95	8899.15	9356.37	4895.79	4645.58	3832.73	4993.23
P47754	P47754	CAZA2_MOUSE	Capza2		29819.7	27567.9	36515.7	38462.1	27646.7	39536.9	30736.6	32899.9	29001.7	28397.1	29981.9
P47754;P47753	P47754;P47753	CAZA1_MOUSE;CAZA2_MOUSE	Capza1;Capza2		11875.8	14355.6	14060.6	21945.6	21802	16932.9	22377.3	19074.4	14459.9	14900.3	11886
P47757	P47757	CAPZB_MOUSE	Capzb		28807.6	26108.1	33157.4	38641.1	31126.4	28999.3	31457.2	28352.5	28600.3	29277.2	23243.4
P47758	P47758	SRPRB_MOUSE	Srprb		2904.52	2266.52	3170.04	4106.06	4298.87	4200.64	3374.34	3461.81	4535.68	3624.42	3493.32
P47791	P47791	GSHR_MOUSE	Gsr		2217.85	2276.03	2628.97	5122.96	5002.27	4679.04	6083.91	2893.34	2994.36	2783.79	
P47802	P47802	MTX1_MOUSE	Mtx1		7768.86	8710.4	7690.4	6567.94	7220.54	7248.16	4792.64	7955.53	6882.41	8096.08	7074.09
P47811	P47811	MK14_MOUSE	Mapk14		3229.94	3088.39	3025.84	3794.82	3734.39		3520.75	2433.92	3300.93	3054.05	4237.89
P47856	P47856	GFPT1_MOUSE	Gfpt1		1057.38	1425.97	972.578	1716.06	1762.21		1567.54	1122.95	1581.95	1313.22	
P47856;Q9Z2Z9	P47856;Q9Z2Z9	GFPT1_MOUSE;GFPT2_MOUSE	Gfpt1;Gfpt2		2415.61	2490.61	1446.83	7156.06	9151.84	6032.14	5432.64	3952.13	5731.5	4407.34	5452.21
P47857	P47857	PFKAM_MOUSE	Pfkm		73303.7	62249	70415.5	74165.2	56370.8	45606.4	37330.5	64400.9	69501.6	73517.6	69116.7
P47911	P47911	RL6_MOUSE	Rpl6		51720.5	58552.2	52018.8	94299	108806	94781	95724.6	74885.6	80589.9	65123.5	70045.3
P47915	P47915	RL29_MOUSE	Rpl29		12722.7	13368.7	17379.5	19153.1	22277.1	17012.6	10298.8	20880.9	20423.9	16314	13223.5
P47934	P47934	CACP_MOUSE	Crat		33091.2	36588.6	35484.3	33794	26714.9	24008.9	14043.4	33282.8	28472.9	34525.4	31453.4
P47941	P47941	CRKL_MOUSE	Crkl		3088.43	2608.52	2236.61	4322.86	4091.08			3840.63	2697.01	3048.84	3195.04
P47955	P47955	RLA1_MOUSE	Rplp1		2786.81	2643.06	2686.12	6924.96	3083.98	3360.06		2687.8	3529.62	4376.48	2073.86
P47962	P47962	RL5_MOUSE	Rpl5		8993.92	10552.3	9150.17	18426	19200.4	17266.2	16806.3	12884.7	15563.4	12273.3	13595.1
P47963	P47963	RL13_MOUSE	Rpl13		39641.6	40678.7	39863.6	67175.8	77784.1	68748.8	66902.5	54100.6	57967.4	46245	51381.6
P47964	P47964	RL36_MOUSE	Rpl36		13698.1	12347.7	14790	17484.5	21551.9	23597	23702.3	15412.5	20138.2	13173.4	17465.6
P48036	P48036	ANXA5_MOUSE	Anxa5		26742.6	43800.9	28072	36278.7	32909.3	42655.8	29978.8	33885.4	44884.1	30028.6	31985
P48193	P48193	EPB41_MOUSE	Epb41		4171.49	4845.94	4539.41	5176.67	6618.64	12635.3	5391.59	4330.26	5394.24	5038.32	4062.1
P48410	P48410	ABCD1_MOUSE	Abcd1			4002.71	3612.36		3691.89		3456.39	3105.61	3315.88	3203.36	3885.27
P48428	P48428	TBCA_MOUSE	Tbca					2197.53							
P48453;P63328	P48453;P63328	PP2BA_MOUSE;PP2BB_MOUSE	Ppp3ca;Ppp3cb		4364.68	6255.54	5482.84	6690.75	5295.07	5869.44	7071.13	5079.11	6876.39	5735.3	4939.01
P48453;P63328;P48455	P48453;P63328;P48455	PP2BA_MOUSE;PP2BB_MOUSE;PP2BC_MOUSE	Ppp3ca;Ppp3cb;Ppp3cc		2265.72	2192.99	2130.67	2734.73	2796.79	1921.6	2694.08	1900.99	2414.18	2046.08	2840.95
P48678	P48678	LMNA_MOUSE	Lmna		79227.6	80869.9	77816.7	69096.8	101848	85353	71410	104956	99714.5	75851.5	87255.7
P48722	P48722	HS74L_MOUSE	Hspa4l		3712.86	3298.49	3653.76	3592.35	3841.46		3374.78	3441.5	3210.22	4052.68	2928.75
P48758	P48758	CBR1_MOUSE	Cbr1		3151.5	3664.29	2908.04	4500.31	2795.73	4205.83	2955.7	2796.4	3460.8	2853.52	2560.13
P48759	P48759	PTX3_MOUSE	Ptx3					9644.49	14388.4	7408.29	5863.76	3327.11	6120.32		
P48771	P48771	CX7A2_MOUSE	Cox7a2		39327.1	34117.8	41605.4	32659.9	23607	27298.3	16788.1	33058.8	35777.6	32563.6	32494.3
P48774	P48774	GSTM5_MOUSE	Gstm5		4342.06	4208.42	3856.55	4741.18	3391.39	2611.4	3695.64	3522.17	5621.83	4544.85	4418.43
P48787	P48787	TNNI3_MOUSE	Tnni3		469929	466956	548465	427125	316424	282955	145795	472976	413498	498280	461413
P48962	P48962	ADT1_MOUSE	Slc25a4		957460	968669	1.09176E+06	902496	713714	774620	369486	985360	929002	1.08199E+06	761124
P49182	P49182	HEP2_MOUSE	Serpind1		3138.13	4311.5	3166.48	3764.88	5354.47	4176.08		2645.94	4420.26	4010.12	1743.43
P49222	P49222	EPB42_MOUSE	Epb42							1813.34					
P49290	P49290	PERE_MOUSE	Epx				8839.54	11480.7	4137.37	8885.77	32622	6673.73		7941.45	9524.41
P49312	P49312	ROA1_MOUSE	Hnrnpa1		18333	18830.5	18697.8	40855.2	54845.1	36607.8	37714.9	24536.9	29567.3	23335.8	25933.8
P49312;O88569	P49312;O88569	ROA1_MOUSE;ROA2_MOUSE	Hnrnpa1;Hnrnpa2b1		1132.09		1011.32	449.353		1137.45					
P49443	P49443	PPM1A_MOUSE	Ppm1a		2735.57	3075.68	2378.11	3050.41	1826	3866.87		2252.98	3016.27	2704.57	2515.72
P49710	P49710	HCLS1_MOUSE	Hcls1			3992.61		14285.9	15127.3	13855.3	17512.8	6202.55	4261.94	7874.95	
P49717	P49717	MCM4_MOUSE	Mcm4					2654.17			3224.51		1015.68		
P49718	P49718	MCM5_MOUSE	Mcm5					5319.24	5743.14	5695.36	8364.98		3652.1		
P49722	P49722	PSA2_MOUSE	Psma2		8134.18	9044.63	9414.1	8999.51	12705.9	11661.4	10995	9839.84	11449.9	11094.3	8841.92
P49813	P49813	TMOD1_MOUSE	Tmod1		18197.8	15528	16881.4	14518.8	13734.2	10089.1	6661.15	16763.6	18363.6	19835.7	18927.3
P49817	P49817	CAV1_MOUSE	Cav1		23678.3	17212.7	17331.5	27631.3	30602.1	33803.6	28939	20264.7	16892.7	16565.2	18151
P49817;P51637	P49817;P51637	CAV1_MOUSE;CAV3_MOUSE	Cav1;Cav3		17485.3	16043.3	15003.1	17370.9	20281.8	23371.4	23453	19378.3	17139.2	17067.3	15217.1
P49945;P29391	P49945;P29391	FRIL1_MOUSE;FRIL2_MOUSE	Ftl1;Ftl2		5133.55	4724.81	5467.86	10008.6	6312.45	8163.82	8036.87	5131.81	6743.75	5966.14	5590.5
P50136	P50136	ODBA_MOUSE	Bckdha		25853.9	24151.2	29498.6	18115.2	13634.2	17004.5	10870.4	23252.9	14372.7	24215.4	20572.3
P50171	P50171	DHB8_MOUSE	Hsd17b8		21724.5	22949	23239.2	18935.1	15780.7	16099.6	10693.8	20632.7	17164.6	20534.7	19115.7
P50247	P50247	SAHH_MOUSE	Ahcy		11271.7	12806.8	11030	15871.2	15905.8	11420.7	13466.1	12026	14610.6	11714.6	13326.5
P50285	P50285	FMO1_MOUSE	Fmo1		3440.52	2599.6	3402.46	3729.58	2600.41		2090.51	3600.64	3003.16	3138.74	3046.22
P50396	P50396	GDIA_MOUSE	Gdi1		5310.12	3882.13	4537.13	6436.23	4338.64	3311.53	3370.94	4486.37	5376.8	4623.22	4782.81
P50446;Cont_P02538;Cont_P04259;Cont_P12035;Cont_P48668;Cont_P50446	P50446;Cont_P02538;Cont_P04259;Cont_P12035;Cont_P48668;Cont_P50446	K2C3_HUMAN;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN	KRT3;KRT6A;KRT6B;KRT6C;Krt6a				180.291		927.553	1726.6	2652.29	1146.75	1750.51	583.171	
P50446;Q9Z331;Cont_Q7Z794;Cont_P50446;Cont_Q9Z331	P50446;Q9Z331;Cont_Q7Z794;Cont_P50446;Cont_Q9Z331	K2C1B_HUMAN;K2C6A_MOUSE;K2C6B_MOUSE	KRT77;Krt6a;Krt6b		1975.09		1334.39	2257.54	4181.53	10081.4	2477.39	2799.81	6679.52		
P50446;Q9Z331;Q6IFZ8;A0A2R8VHP3;Cont_P02538;Cont_P04259;Cont_P48668;Cont_P50446;Cont_Q9Z331	P50446;Q9Z331;Q6IFZ8;A0A2R8VHP3;Cont_P02538;Cont_P04259;Cont_P48668;Cont_P50446;Cont_Q9Z331	A0A2R8VHP3_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6B_MOUSE;K2C6C_HUMAN;Q6IFZ8_MOUSE	Gm5414;Gm5478;KRT6A;KRT6B;KRT6C;Krt6a;Krt6b				7225.15	4646.86	6854.19	5566.82	23538.3	4399.93	17687.5	3898.62	4645.68
P50446;Q9Z331;Q8BGZ7;Q6IFZ8;A0A2R8VHP3;Cont_O95678;Cont_P02538;Cont_P48668;Cont_P50446;Cont_Q8BGZ7;Cont_Q9Z331	P50446;Q9Z331;Q8BGZ7;Q6IFZ8;A0A2R8VHP3;Cont_O95678;Cont_P02538;Cont_P48668;Cont_P50446;Cont_Q8BGZ7;Cont_Q9Z331	A0A2R8VHP3_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_MOUSE;K2C6C_HUMAN;K2C75_HUMAN;K2C75_MOUSE;Q6IFZ8_MOUSE	Gm5414;Gm5478;KRT6A;KRT6C;KRT75;Krt6a;Krt6b;Krt75				1134.02	1455.66		3434.04	14091.8	2606.19	11194.9	1574.64	3657.12
P50462	P50462	CSRP3_MOUSE	Csrp3		51597.2	46321.3	62745.8	72450.1	58294.4	36184.2	26087.2	58540.6	53033.8	66725.4	59361
P50516	P50516	VATA_MOUSE	Atp6v1a		6803.76	6563.34	6866.09	9906.18	11186.1	11255.9	14499.6	8700.5	9267.92	7874.85	8410.01
P50518	P50518	VATE1_MOUSE	Atp6v1e1		3612.11	3086.81	3634.06	5859.26	5095.52	6971.71	6970.32	4141.37	4534.46	4345.16	5331.26
P50543	P50543	S10AB_MOUSE	S100a11		3021.18	3429.99	2488.22	7387.54	6474.38	9122.25	7613.8	4640.94	4452.04	3319.97	3349.32
P50544	P50544	ACADV_MOUSE	Acadvl		277904	270531	288415	230248	182297	170256	87607.6	257976	209136	265571	232544
P50580	P50580	PA2G4_MOUSE	Pa2g4		6425.84	6327.21	5978.71	14286	13678.2	12629.6	11094	7641.56	8641.79	6883.01	8777.46
P50752	P50752	TNNT2_MOUSE	Tnnt2		1.15529E+06	1.02008E+06	1.24693E+06	900697	747584	674454	345043	1.14327E+06	1.03732E+06	1.21693E+06	900260
P51125	P51125	ICAL_MOUSE	Cast		3683	3408.65	4334.1	5323.13	5460.95	3891.63	3737.13	4436.15	4358.54	4458	4224.61
P51150	P51150	RAB7A_MOUSE	Rab7a		12021.3	11176.7	11596.8	15047.1	16253.2	18378.7	18260.1	14634.4	13971.5	12806.3	12617.1
P51174	P51174	ACADL_MOUSE	Acadl		275500	266367	316972	280306	215137	189988	101263	291898	274536	293200	230201
P51175	P51175	PPOX_MOUSE	Ppox				1355.07					812.436		1014.94	
P51437	P51437	CAMP_MOUSE	Camp					11925.7	23548.6	33144.2	47368.6	2845.29			2614.48
P51637	P51637	CAV3_MOUSE	Cav3		7328.98	16348.1	4277.93	5640.41	12813.4	9921.75	6943.49	9666.04	15839.8	15008.7	14807.3
P51660	P51660	DHB4_MOUSE	Hsd17b4		10494.8	12289	11425.4	12557.7	12058.3	13497.3	13123.9	12706.5	12597.5	12058.8	13550
P51667	P51667	MLRV_MOUSE	Myl2		1.28316E+06	1.27802E+06	1.28871E+06	1.14141E+06	1.11473E+06	923112	610383	1.28202E+06	1.28293E+06	1.42859E+06	1.30339E+06
P51667;Q62082	P51667;Q62082	MLRV_MOUSE;MYL10_MOUSE	Myl10;Myl2		1.52071E+06	1.63786E+06	1.95912E+06	1.57976E+06	1.06232E+06	1.07424E+06	543674	1.43874E+06	1.28704E+06	1.61198E+06	1.56162E+06
P51807	P51807	DYLT1_MOUSE	Dynlt1		290.647	315.23	460.69	538.387	370.059		890.597	694.349	548.14	394.753	154.342
P51859	P51859	HDGF_MOUSE	Hdgf		4718.1	5260.94	4343.1	7265.62	5103.04	5767.58	4674.53	3871.84	7189.15	3869.37	4566.76
P51863	P51863	VA0D1_MOUSE	Atp6v0d1		3492.11	4901.32	3800.14	5979.71	5578.27	5839.25	8608.44	4572.73	4789.57	4107.97	5466.62
P51881	P51881	ADT2_MOUSE	Slc25a5		87479.1	80292.9	101711	75366.8	72662.8	72614.9	43075.6	93646.1	98479.9	89154.3	81511.1
P51881;P48962	P51881;P48962	ADT1_MOUSE;ADT2_MOUSE	Slc25a4;Slc25a5		614311	555944	545588	583586	412693	806175	309394	564191	526868	612710	479381
P51885	P51885	LUM_MOUSE	Lum		28898	32733.3	25695.1	24462	21747.9	22809.6	12275.2	28346.1	31366.4	24622.8	25414.7
P52196	P52196	THTR_MOUSE	Tst		1695.49		1392.96					1359.23	1571.32		
P52293	P52293	IMA1_MOUSE	Kpna2				384.111	2141.3	1942.29	2263.95	2234.58	792.621	767.086	673.613	1859.07
P52430	P52430	PON1_MOUSE	Pon1		2931.37	4022.59	3115.28	9759.88	6782.3	12983	4726.71	6907.43	7704.03	4420.5	3505
P52479	P52479	UBP10_MOUSE	Usp10		2112.98	2662.16	2069.68	2769.67				2410	2379.54	2902.53	
P52480	P52480	KPYM_MOUSE	Pkm		360114	324037	399106	521999	394712	349125	300395	348539	403986	347093	389807
P52503	P52503	NDUS6_MOUSE	Ndufs6		59887.9	61565.1	67014.4	54615.3	38799.6	28051	21112.7	57077.8	49682.8	51709.9	46864.7
P52623;Q99PM9	P52623;Q99PM9	UCK1_MOUSE;UCK2_MOUSE	Uck1;Uck2			755.562		2640.9	2080.68	3063.65	1427.95	585.632		846.222	1676.01
P52825	P52825	CPT2_MOUSE	Cpt2		47366.5	44724	46943.4	36741.3	33289.7	34908.1	18717.6	39350	33732.9	43027.2	33692.9
P53026	P53026	RL10A_MOUSE	Rpl10a		37218.7	30807.5	32832.2	57796	57260.5	63927.3	56569.3	48066.8	56445.7	39574.3	38912.4
P53395	P53395	ODB2_MOUSE	Dbt		24078.7	26391.7	26937	21617.2	17192.7	22407.6	11785.8	22670.7	17965.3	25711.1	23020.1
P53657;P52480	P53657;P52480	KPYM_MOUSE;KPYR_MOUSE	Pklr;Pkm		124241	117641	126318	208406	117516	109168	90125.2	113341	136742	110333	126633
P53702	P53702	CCHL_MOUSE	Hccs		8176.48	6914.38	7815.02	5976.75	6526.87	7067.47	3893.86	7217.66	7449.29	6529.94	6034.49
P53810	P53810	PIPNA_MOUSE	Pitpna		1645.41	1070.19		1505.35	1759.13			1479.58		1344.62	
P53810;P53811	P53810;P53811	PIPNA_MOUSE;PIPNB_MOUSE	Pitpna;Pitpnb		8243.69	8977.63	8464.47	9053.84	6691.51	9775.13	6194.98	5997.54	6344.48	9113.2	8013.53
P53811	P53811	PIPNB_MOUSE	Pitpnb		919.674	1422.39	1073.14	1129.42	1237.58	2351.63		1356.98	1495.36	1844.8	
P53986	P53986	MOT1_MOUSE	Slc16a1		19825.9	18534.5	20498.3	16810.9	14146.4	15953.3	12411.5	16207.2	14022.4	17264.3	15074.4
P53994	P53994	RAB2A_MOUSE	Rab2a		15166.8	12922.5	15386.6	12786.2	13887.2	12903.3	10469.3	14284.5	14729	11480.2	12335.8
P53996	P53996	CNBP_MOUSE	Cnbp		4384.4	6041.62	6178.79	10853.6	12036.4	7424.86	7739.94	7341.27	6787.19	6313.08	9589.2
P54071	P54071	IDHP_MOUSE	Idh2		701467	702598	767269	707733	586779	413817	244278	676056	782396	689683	647847
P54116	P54116	STOM_MOUSE	Stom		11490.5	15082	13100.6	13687.1	14636	21660.8	23770.6	12217.8	8309.62	10374.6	10310.4
P54227	P54227	STMN1_MOUSE	Stmn1					2704.4	4231.86	4710.85			2572.58		
P54227;P55821	P54227;P55821	STMN1_MOUSE;STMN2_MOUSE	Stmn1;Stmn2					6329.87	4666.24	6155.02	6881.56				
P54320	P54320	ELN_MOUSE	Eln		22116.5	20777.9	18469.1	14665.9	23052.4	27186.2	22590.9	19899.4	21438.8	17105.7	19038.1
P54728	P54728	RD23B_MOUSE	Rad23b		6518.13	5900.48	5612.41	7883.39	9948.26	6843.36	7118.95	5981.95	7238.13	7755.67	11125.1
P54728;P54726	P54728;P54726	RD23A_MOUSE;RD23B_MOUSE	Rad23a;Rad23b		3807.7	4425.62	4189.84	6783.26	6912.8	6180.2	4507.62	4756.12	5566.87	6432.77	6462.89
P54731	P54731	FAF1_MOUSE	Faf1		1601.78	1530.24	1696.91	2970.37	7195.99		11676.9	2239.81	2645.35	2113.27	
P54751	P54751	SIA4A_MOUSE	St3gal1						2334.58		2689.61				
P54775	P54775	PRS6B_MOUSE	Psmc4		4606.38	5795.4	4945.38	6776.79	6727.72	7536.96	6411.02	5238.85	6292.72	6243.17	8028.61
P54797	P54797	TNG2_MOUSE	Tango2		2517.97	1646.6	2538.41	4504.44	2042.75			2529.38	1958.13	3164.86	
P54822	P54822	PUR8_MOUSE	Adsl		3462.71	3864.36	3968.26	4620.48	4453.44	3099.69	3303.42	3101.57	3396.7	3742.85	3980.58
P54823	P54823	DDX6_MOUSE	Ddx6		2404.83	3064.18	3012.81	2743.38	3622.2	4678.86	4102.14	2547.29	2949.39	2656.07	2822.92
P55002	P55002	MFAP2_MOUSE	Mfap2		17053	16734.5	11914.6	11398.5	13506.9	13436.1	10024.8	7716.41	17141.7	11135	12936.6
P55096	P55096	ABCD3_MOUSE	Abcd3		3247.25	3630.64	3980.33	3550.01	3572.09		2714.37	3758.06	3794.25	4142.58	
P55194	P55194	3BP1_MOUSE	Sh3bp1							7782.55	8625.97	5521.33		4711.42	6881.51
P55258	P55258	RAB8A_MOUSE	Rab8a		1613.37	1606.49	2211.61	2332.07	3233.23	3280.12	2432.88	2118	2510.78	1909.26	3488.5
P55264	P55264	ADK_MOUSE	Adk		9481.99	7920.92	6879.72	12680.5	10970.8	8595.47	6426.74	7715.19	6811.33	8652.68	9831.18
P55288	P55288	CAD11_MOUSE	Cdh11		5406.93	5403.76	3890.09	3844.35	3958.18	4640.37	5018.01	3984.72	5732.64	4468.63	5866.2
P55292	P55292	DSC2_MOUSE	Dsc2		8203.83	10723	8250.95	7272.47	8007.23	6368.33	4479.68	8360.14	11867.6	9742.86	10062.2
P55302	P55302	AMRP_MOUSE	Lrpap1		3018.65	2840.96	2859.4	3309.57	3185.89	3100.27	2550.24	2850.41	3644.38	3440.1	4827.89
P55772	P55772	ENTP1_MOUSE	Entpd1		13303.8	10670.4	12112.3	11409.3	17034.4	19676	22282.5	14430.1	12420.1	10275.9	13189.9
P56135	P56135	ATPK_MOUSE	Atp5mf		102457	115925	97847.8	108269	73827.5	124019	52868.7	119722	117484	131682	95590.5
P56212	P56212	ARP19_MOUSE	Arpp19		4631.75	3179.16	3786.33	5763.94	3826.68	4741.54	4825.63	3758.39		3885.67	
P56213	P56213	ALR_MOUSE	Gfer		4142.71	4777.44	4964.94	4923.5	4967.91	5690.82	3646.56	5842.89	4429.42	5621.71	5423.91
P56375	P56375	ACYP2_MOUSE	Acyp2		2215.99	2176.65	2017.32	5187.21	2295.39	2397.32	2145.92	2011.77	2196.18	3153.56	3197.63
P56379	P56379	ATP68_MOUSE	Atp5mj		11815.2	20547.4	14648.2	12031.4	11371.5	15686.6	7097.43	14997.6	10910.4	11805.6	15036.7
P56382	P56382	ATP5E_MOUSE	Atp5f1e		227454	283339	273746	198789	181640	175786	84142.3	196596	197711	246112	191704
P56391	P56391	CX6B1_MOUSE	Cox6b1		142154	111448	149148	122260	90876.6	80857.3	44575	128723	120422	152746	103340
P56392	P56392	CX7A1_MOUSE	Cox7a1		146953	160181	151344	102055	62576.2	86284.7	41367.9	116323	110007	136334	89079.5
P56393	P56393	COX7B_MOUSE	Cox7b		24340.1	36683.3	29746.3	20249.2	21072.5	17029.7	7492.78	21717.9	20934.4	31766.6	28019
P56394	P56394	COX17_MOUSE	Cox17				850.687		1047.45			1184.81	841.458		
P56395	P56395	CYB5_MOUSE	Cyb5a		11897.7	11655.8	13198	10000.7	14125.4	9306.31	10035.7	12674.4	13841.7	10072.4	11152.8
P56399	P56399	UBP5_MOUSE	Usp5		11335.4	11601	11000	15656.8	12236.2	7594.63	8337.41	11379.8	13659.8	14370.3	11166.4
P56480	P56480	ATPB_MOUSE	Atp5f1b		2.59127E+06	2.67529E+06	2.55193E+06	2.19312E+06	1.99869E+06	1.70401E+06	996372	2.40209E+06	2.32156E+06	2.37609E+06	2.07084E+06
P56546	P56546	CTBP2_MOUSE	Ctbp2		3892.22	3570.97	3755.19	4730.34	6382.37	7443.34	5385.83	3268.39	4227.55	3517.51	
P56546;O88712	P56546;O88712	CTBP1_MOUSE;CTBP2_MOUSE	Ctbp1;Ctbp2		7309.11	6959.29	7441.01	7916.22	9761.32	9763.81	10836.3	8752.41	8346.09	7945.69	8423.99
P56565	P56565	S10A1_MOUSE	S100a1		8093.94	7437.68	9878.43	6667.95	5589.01	5718.15	4596.18	6786.33	8017.87	7253.33	8628.33
P56695	P56695	WFS1_MOUSE	Wfs1		7882.66	8496.29	8133.86	6605.38	7612.17	6146.24	3904.16	8447.55	10524.8	9248.19	9507.03
P56812	P56812	PDCD5_MOUSE	Pdcd5		6760.1	6363.03	5355.43	9229.04	10897	6466.22	7812.6	7010.8	9533.62	5582.2	9263.72
P56959	P56959	FUS_MOUSE	Fus		5760.17	4556.9	6133.91	9821.89	10444	8227.2	10457.2	7920.54	6951.14	6865.32	
P56959;Q8BQ46	P56959;Q8BQ46	FUS_MOUSE;Q8BQ46_MOUSE	Fus;Taf15		12868.8	13118.3	13671.6	27212.8	26376.5	17133.3	19394.8	16856.5	18385.4	17810.6	15352.8
P57716	P57716	NICA_MOUSE	Ncstn		3684.98	4558.55	3068.59	4846.28	7233.65	10244.5	7957.94	5063.05	5434.1	3392.2	4978.32
P57759	P57759	ERP29_MOUSE	Erp29			1699.33	1265.01	2602.8	2373.39	1964.26	4561.12	959.323	2378.18	1660.33	
P57776	P57776	EF1D_MOUSE	Eef1d		33008.4	35742.4	33520.1	44757.3	50606.2	42191.2	44202	41110.7	42674.4	36843.7	44111.5
P57776;O70251	P57776;O70251	EF1B_MOUSE;EF1D_MOUSE	Eef1b;Eef1d		6619.47	6972.44	6476.83	12004.2	11565.1	12469.2	10079.8	6975.62	9692.66	7385.29	8334.46
P57780	P57780	ACTN4_MOUSE	Actn4		9403.11	10021.9	9021.77	14069.2	14096.5	15802.1	17983.4	11188.6	15388.5	10151.6	11772.4
P57780;E9PX29	P57780;E9PX29	ACTN4_MOUSE;E9PX29_MOUSE	Actn4;Sptbn4		3254.9	3446.47	2614.99	4462.19	2295.62	4159.73	5644.46	3686.75	4529.47	2864.44	3206.73
P57780;Q7TPR4	P57780;Q7TPR4	ACTN1_MOUSE;ACTN4_MOUSE	Actn1;Actn4		12693.8	15818.9	15045.9	25853.8	27025.7	29924.6	32697.5	18797.1	24025	17028.9	19749.9
P57780;Q7TPR4;O88990	P57780;Q7TPR4;O88990	ACTN1_MOUSE;ACTN3_MOUSE;ACTN4_MOUSE	Actn1;Actn3;Actn4		4260.52	5412.89	4079.41	8736.2	8799.99	12106.6	7454.79	4346.03	6550.85	4741.38	4172.64
P57780;Q7TPR4;O88990;Q9JI91	P57780;Q7TPR4;O88990;Q9JI91	ACTN1_MOUSE;ACTN2_MOUSE;ACTN3_MOUSE;ACTN4_MOUSE	Actn1;Actn2;Actn3;Actn4		52040.1	48571.2	62287.4	44059.2	37809.5	38860.9	24541.8	56342.9	46420.8	50768.6	39998
P57780;Q7TPR4;Q9JI91	P57780;Q7TPR4;Q9JI91	ACTN1_MOUSE;ACTN2_MOUSE;ACTN4_MOUSE	Actn1;Actn2;Actn4		35161.1	17894.8	31826.9	23936.8	26395	24407.8	14240.9	26872.9	32690.3	40062	32462
P57780;Q9JI91	P57780;Q9JI91	ACTN2_MOUSE;ACTN4_MOUSE	Actn2;Actn4		16716.2	11257.1	20801.9	13592.5	12308.2	10774	7014.11	19391.6	18760	17435.6	17109.9
P57784	P57784	RU2A_MOUSE	Snrpa1		4490.06	5518.13	4647.78	7460.29	9459.56	8431.99	10657	5552.37	7277.4	6812.66	6522.82
P58021	P58021	TM9S2_MOUSE	Tm9sf2		5136.81	6014.61	5900.82	6114.4	11627.3	7605.87	8899.28	6957.77	7422.84	6418.43	8241.01
P58059	P58059	RT21_MOUSE	Mrps21		998.351	760.916	804.585								
P58064	P58064	RT06_MOUSE	Mrps6		1107.7	1461.61	1902.24	1658.45	1979.12	1660.86		1424.84	1591.54	2217.33	
P58252	P58252	EF2_MOUSE	Eef2		38693.5	37391	39939	89370.8	70425.1	57077.6	52045.4	48675.9	61919.9	50589.6	53650.2
P58252;O08810	P58252;O08810	EF2_MOUSE;U5S1_MOUSE	Eef2;Eftud2		91961.8	120173	103263	213952	180476	144967	148232	128191	175075	139794	147613
P58281	P58281	OPA1_MOUSE	Opa1		23771.3	25106.2	24387	19627.2	20242.1	20190.2	12967.2	23390.8	23135.2	24136.7	20407.8
P58281;P58682	P58281;P58682	OPA1_MOUSE;TLR8_MOUSE	Opa1;Tlr8		6057.34	8675.96	8756.66	5101.09	4277.2	6911.29	2880.47	6707	7064.36	6768.11	7840.43
P58404	P58404	STRN4_MOUSE	Strn4		3665.26	3315.68	2850.64	4016.48		4755.37	5234.04	4348.27	5564.65	3527.14	3505.15
